id,cat_type,name,parent_id,sort_order,description,code,space_id,space_code,valid_flag,del_flag,create_by,creator_id,create_time,update_by,updater_id,update_time
47,TASK,汇总与专题,34,4,,A06A05,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:19:47,吴同,2,2025-09-19 17:19:47
48,TASK,服务与发布,34,5,,A06A06,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:19:53,吴同,2,2025-09-19 17:19:53
49,TASK,安全与治理,34,6,,A06A07,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-19 17:19:58,吴同,2,2025-09-19 17:19:58
50,TASK,数据接入采集,3,7,,A03A08,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-22 12:55:27,吴同,2,2025-09-22 13:38:00
51,TASK,清洗和标准化,3,8,,A03A09,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,2,2025-09-22 13:37:54,吴同,2,2025-09-22 13:37:54
52,CLEAN,关键词脱敏,47,0,规则描述：将字段值中包含的敏感词进行掩码处理，支持配置脱敏字符,A05A02A01,1,BANK_CUSTOMER_ACCOUNT,False,True,吴同,1,2025-08-11 11:52:06,吴同,1,2025-08-11 11:52:06
53,CLEAN,敏感词替换,47,1,规则描述：将命中词表中的敏感词替换为指定文本（如“未知”、“违规内容”）,A05A02A02,1,BANK_CUSTOMER_ACCOUNT,False,True,吴同,1,2025-08-11 11:52:17,吴同,1,2025-08-11 11:52:17
54,CLEAN,及时性调整,0,5,,A06,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,1,2025-08-11 14:01:07,吴同,1,2025-08-11 14:01:09
55,CLEAN,未来时间修正类,54,0,,A06A01,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,1,2025-08-11 14:01:17,吴同,1,2025-08-11 14:01:17
56,CLEAN,更新时间缺失填补类,54,1,,A06A02,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,1,2025-08-11 14:01:26,吴同,1,2025-08-11 14:01:26
57,CLEAN,过期时间处理类,54,2,,A06A03,1,BANK_CUSTOMER_ACCOUNT,True,False,吴同,1,2025-08-11 14:01:33,吴同,1,2025-08-11 14:01:33
58,CLEAN,修正未来时间值,55,0,规则描述：当时间字段值晚于当前时间时，自动修正为当前时间或指定边界值,A06A01A01,1,BANK_CUSTOMER_ACCOUNT,False,True,吴同,1,2025-08-11 14:01:47,吴同,1,2025-08-11 14:01:47
59,CLEAN,校正超前时间差值,55,1,规则描述：当字段时间超过当前时间指定间隔（如7天）时，进行修正处理,A06A01A02,1,BANK_CUSTOMER_ACCOUNT,False,True,吴同,1,2025-08-11 14:02:00,吴同,1,2025-08-11 14:02:00
60,CLEAN,填补空时间为当前时间,56,0,规则描述：当时间字段为空时，填充为系统当前时间或默认时间,A06A02A01,1,BANK_CUSTOMER_ACCOUNT,False,True,吴同,1,2025-08-11 14:02:14,吴同,1,2025-08-11 14:02:14
61,CLEAN,清理过期记录,57,0,规则描述：当记录中的时间字段早于当前时间指定阈值时（如30天），标记或删除,A06A03A01,1,BANK_CUSTOMER_ACCOUNT,True,True,吴同,1,2025-08-11 14:02:23,吴同,1,2025-08-11 14:02:23
62,CLEAN,修正历史时间边界,57,1,规则描述：当字段值早于系统可接受最早时间时，替换为指定边界值,A06A03A02,1,BANK_CUSTOMER_ACCOUNT,False,True,吴同,1,2025-08-11 14:02:35,吴同,1,2025-08-11 14:02:35
